Raw Name,Suffix,Full Name,Address
Barrington Hills,Counrty Club,Barrington Hills Counrty Club,"300 W County Line Rd, Barrington, IL 60010"
Biltmore,Counrty Club,Biltmore Counrty Club,"160 Biltmore Dr, North Barrington, IL 60010"
Birchwood,Counrty Club,Birchwood Counrty Club,"1174 Park Ave W, Highland Park, IL 60035"
Bryn Mawr,Counrty Club,Bryn Mawr Counrty Club,"6600 N Crawford Ave, Lincolnwood, IL 60712"
Butterfield,Counrty Club,Butterfield Counrty Club,"2800 Midwest Rd, Oak Brook, IL 60523"
Chicago Highlands,Counrty Club,Chicago Highlands Counrty Club,"2 Bluebird Trail, Westchester, IL 60154"
Dunham Woods,Counrty Club,Dunham Woods Counrty Club,"33w333 Army Trail Rd, Wayne, IL 60184"
Edgewood Valley,Counrty Club,Edgewood Valley Counrty Club,"7500 Willow Springs Rd, LAGRANGE HLDS, IL 60525"
Evanston,Counrty Club,Evanston Counrty Club,"4401 Dempster St, Skokie, IL 60076"
Exmoor,Counrty Club,Exmoor Counrty Club,"700 Vine Ave, Highland Park, IL 60035"
Glen Ellyn,Counrty Club,Glen Ellyn Counrty Club,
Glen Oak,Counrty Club,Glen Oak Counrty Club,"21W451 Hill Ave, Glen Ellyn, IL 60137"
Glen View,Counrty Club,Glen View Counrty Club,"100 Golf Rd, Golf, IL 60029"
Glenbrook,Counrty Club,Glenbrook Counrty Club,
Glenbrook RC,Counrty Club,Glenbrook RC Counrty Club,"1801 Janke Dr, Northbrook, IL 60062"
Hawthorn Woods,Counrty Club,Hawthorn Woods Counrty Club,"1 Tournament Dr N, Hawthorn Woods, IL 60047"
Hinsdale Golf Club,Counrty Club,Hinsdale Golf Club Counrty Club,"140 Chicago Ave, Clarendon Hills, IL 60514"
Indian Hill,Counrty Club,Indian Hill Counrty Club,"1 Indian Hill Road, Winnetka, IL 60093"
Inverness,Counrty Club,Inverness Counrty Club,"1 Country Club Dr, Birmingham, AL 35242"
Knollwood,Counrty Club,Knollwood Counrty Club,"1890 Knollwood Rd, Lake Forest, IL 60045"
LaGrange,Counrty Club,LaGrange Counrty Club,"620 S Brainard Ave, La Grange, IL 60525"
Lake Bluff,Counrty Club,Lake Bluff Counrty Club,"355 W Washington Ave, Lake Bluff, IL 60044"
Lake Forest,Counrty Club,Lake Forest Counrty Club,"554 N Westmoreland Rd, Lake Forest, IL 60045"
Lake Shore,Counrty Club,Lake Shore Counrty Club,"1255 Sheridan Rd, Glencoe, IL 60022"
Lakeshore S&F,Counrty Club,Lakeshore S&F Counrty Club,"1320 W Fullerton Ave, Chicago, IL 60614"
Legends,Counrty Club,Legends Counrty Club,
LifeSport,Counrty Club,LifeSport Counrty Club,"96 N Elm Rd, Lincolnshire, IL 60069"
Medinah,Counrty Club,Medinah Counrty Club,"6N001 Medinah Rd, Medinah, IL 60157"
Michigan Shores,Counrty Club,Michigan Shores Counrty Club,"911 Michigan Ave, Wilmette, IL 60091"
Midt-Bannockburn,Counrty Club,Midt-Bannockburn Counrty Club,"2211 Waukegan Rd, Bannockburn, IL 60015"
Midtown,Counrty Club,Midtown Counrty Club,"2444 N Elston Ave, Chicago, IL 60647"
North Shore,Counrty Club,North Shore Counrty Club,"1340 Glenview Rd, Glenview, IL 60025"
Northmoor,Counrty Club,Northmoor Counrty Club,"820 Edgewood Rd, Highland Park, IL 60035"
Oak Park,Counrty Club,Oak Park Counrty Club,"2001 N Thatcher Ave, River Grove, IL 60171"
Onwentsia,Counrty Club,Onwentsia Counrty Club,"300 N Green Bay Rd, Lake Forest, IL 60045"
Park Ridge,Counrty Club,Park Ridge Counrty Club,"636 N Prospect Ave, Park Ridge, IL 60068"
Prairie Club,Counrty Club,Prairie Club Counrty Club,"2800 W Lake Ave, Glenview, IL 60026"
River Forest,Counrty Club,River Forest Counrty Club,"15W468 Grand Ave, Elmhurst, IL 60126"
Royal Melbourne,Counrty Club,Royal Melbourne Counrty Club,"4700 Royal Melbourne Dr, Long Grove, IL 60047"
Ruth Lake,Counrty Club,Ruth Lake Counrty Club,"6200 S Madison St, Hinsdale, IL 60521"
Saddle & Cycle,Counrty Club,Saddle & Cycle Counrty Club,"900 W Foster Ave, Chicago, IL 60640"
Salt Creek,Counrty Club,Salt Creek Counrty Club,"830 N Madison St, Hinsdale, IL 60521"
Skokie,Counrty Club,Skokie Counrty Club,"500 Washington Ave, Glencoe, IL 60022"
South Barrington,Counrty Club,South Barrington Counrty Club,"3 Tennis Club Ln, South Barrington, IL 60010"
Sunset Ridge,Counrty Club,Sunset Ridge Counrty Club,"2100 Sunset Ridge Rd, Northfield, IL 60093"
Tennaqua,Counrty Club,Tennaqua Counrty Club,"1 Tennaqua Ln, Deerfield, IL 60015"
Valley Lo,Counrty Club,Valley Lo Counrty Club,"2200 Tanglewood Dr, Glenview, IL 60025"
Westmoreland,Counrty Club,Westmoreland Counrty Club,"2601 Old Glenview Rd, Wilmette, IL 60091"
White Eagle,Counrty Club,White Eagle Counrty Club,"3400 Club Dr, Naperville, IL 60564"
Wilmette,Counrty Club,Wilmette Counrty Club,"3900 Fairway Dr #1088, Wilmette, IL 60091"
Winnetka,Counrty Club,Winnetka Counrty Club,"490 Hibbard Rd, Winnetka, IL 60093"
Winter Club,Counrty Club,Winter Club Counrty Club,"956 Sheridan Rd, Lake Forest, IL 60045"
,Counrty Club,,
